# Wavelength Correction_Factor
3.850710000000000264e+02 5.488347185582986398e+00
3.852830000000000155e+02 5.446828763617445723e+00
3.854950000000000045e+02 5.393836256594016554e+00
3.857069999999999936e+02 5.404371433691949278e+00
3.859189999999999827e+02 5.348737008746643262e+00
3.861309999999999718e+02 5.310054828014500572e+00
3.863430000000000177e+02 5.349004334682296857e+00
3.865550000000000068e+02 5.405669159322089357e+00
3.867669999999999959e+02 5.388344343195652364e+00
3.869789999999999850e+02 5.365783962354012893e+00
3.871909999999999741e+02 5.318797042751088000e+00
3.874030000000000200e+02 5.252759622376159676e+00
3.876150000000000091e+02 5.215745318204757730e+00
3.878269999999999982e+02 5.199368119212406825e+00
3.880389999999999873e+02 5.161060565093301911e+00
3.882509999999999764e+02 5.101875831064766942e+00
3.884630000000000223e+02 5.059186702555312110e+00
3.886750000000000114e+02 5.036229305541905177e+00
3.888870000000000005e+02 5.002582687989053589e+00
3.890989999999999895e+02 5.013932496134031247e+00
3.893109999999999786e+02 5.040980775363331112e+00
3.895230000000000246e+02 5.092230722666058362e+00
3.897350000000000136e+02 5.083862461845759739e+00
3.899460000000000264e+02 5.087049040681133505e+00
3.901580000000000155e+02 5.035962638377050382e+00
3.903700000000000045e+02 5.031257688667482242e+00
3.905819999999999936e+02 5.004918615006198834e+00
3.907939999999999827e+02 5.011386415847550957e+00
3.910059999999999718e+02 4.986799271627949892e+00
3.912169999999999845e+02 4.933125216807782820e+00
3.914289999999999736e+02 4.903623900263519353e+00
3.916410000000000196e+02 4.870346602295425598e+00
3.918530000000000086e+02 4.846435492266651046e+00
3.920649999999999977e+02 4.829467341856169327e+00
3.922760000000000105e+02 4.821990059994360145e+00
3.924879999999999995e+02 4.828848146133082331e+00
3.926999999999999886e+02 4.826883901055531112e+00
3.929119999999999777e+02 4.821935498000816445e+00
3.931229999999999905e+02 4.778208767348658625e+00
3.933349999999999795e+02 4.758083418794855746e+00
3.935470000000000255e+02 4.705760625978729017e+00
3.937579999999999814e+02 4.719080286097575794e+00
3.939700000000000273e+02 4.672864967572414763e+00
3.941820000000000164e+02 4.644868611776499456e+00
3.943929999999999723e+02 4.643857035134288047e+00
3.946050000000000182e+02 4.647255415442945292e+00
3.948170000000000073e+02 4.722756771842890444e+00
3.950280000000000200e+02 4.722293644135810098e+00
3.952400000000000091e+02 4.705501247621009853e+00
3.954519999999999982e+02 4.669930347199064968e+00
3.956630000000000109e+02 4.640161668842600839e+00
3.958750000000000000e+02 4.581552136208985715e+00
3.960860000000000127e+02 4.553598148854363536e+00
3.962980000000000018e+02 4.570254055985478736e+00
3.965090000000000146e+02 4.524670308612502190e+00
3.967210000000000036e+02 4.485218863876053064e+00
3.969329999999999927e+02 4.445653755638367954e+00
3.971440000000000055e+02 4.403278757719204073e+00
